,Unnamed: 0.2,Unnamed: 0.1,Industry,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,growth
0,0,0,Accounting/Taxation/Finance,4000.0,3879.0,3554.0,3303.0,3638.0,3642.0,4989.0,4712.0,4735.0,4989.0,5535.0,5440.0,5792.0,44.800000000000004
1,1,1,Insurance,1761.0,1656.0,1644.0,1775.0,1779.0,2387.0,2627.0,2386.0,2378.0,2295.0,2745.0,2914.0,2361.0,34.07155025553663
2,2,2,Architecture/Interior Designing,2589.0,2811.0,2610.0,2612.0,2596.0,2926.0,2512.0,2368.0,2314.0,2707.0,2951.0,2856.0,2179.0,-15.836230204712242
3,3,3,NGO/Social Services,3242.0,3724.0,3256.0,3104.0,3541.0,4024.0,3536.0,3747.0,3457.0,3651.0,4483.0,3995.0,4119.0,27.0512029611351
4,4,4,Fertilizers/Pesticides,5246.0,6375.0,5720.0,5373.0,5057.0,5165.0,6758.0,5567.0,5508.0,5580.0,6574.0,6018.0,6685.0,27.430423179565384
5,5,5,Chemicals/PetroChemical/Plastic/Rubber,1482.0,1689.0,1612.0,1499.0,1549.0,1729.0,1558.0,1407.0,1651.0,1640.0,1677.0,1694.0,1763.0,18.960863697705804
6,6,6,Textiles/Garments/Accessories,2095.0,2060.0,2067.0,1837.0,1997.0,1997.0,1995.0,1939.0,2292.0,2100.0,2195.0,2367.0,2431.0,16.0381861575179
7,7,7,Travel & Hospitality,1625.0,1739.0,1634.0,1519.0,2025.0,2025.0,1675.0,1581.0,1639.0,1620.0,1662.0,1801.0,1877.0,15.507692307692308
8,8,8,Oil and Gas/Power/Infrastructure/Energy,630.0,675.0,686.0,632.0,641.0,641.0,617.0,581.0,648.0,679.0,754.0,743.0,722.0,14.603174603174605
9,9,9,Consumer Durables,750.0,886.0,825.0,772.0,754.0,740.0,795.0,789.0,815.0,815.0,816.0,823.0,852.0,13.600000000000001
10,10,10,Printing/Packaging,1198.0,1157.0,1207.0,1260.0,1250.0,1354.0,1204.0,1110.0,1180.0,1148.0,1220.0,1262.0,1366.0,14.023372287145241
11,11,11,Defence/Government,6373.0,8906.0,9560.0,6796.0,7529.0,7353.0,8049.0,7951.0,7119.0,6692.0,8923.0,7599.0,7289.0,14.373136670327947
12,12,12,Gems & Jewellery,5477.0,6250.0,5816.0,5956.0,6176.0,6251.0,5909.0,5429.0,6078.0,5846.0,6426.0,6305.0,6242.0,13.967500456454262
13,13,13,Office Equipment/Automation,3596.0,3902.0,3786.0,3778.0,3905.0,3447.0,3536.0,3511.0,3809.0,3789.0,4212.0,4102.0,4069.0,13.153503893214683
